Dow Jones Industrial Average,"24,360.14",2018-04-15 21:36:15.851000
S&P 500 Index,"2,656.30",2018-04-15 21:36:15.851000
NASDAQ Composite Index,"7,106.65",2018-04-15 21:36:15.851000
EURO STOXX 50 Price EUR,"3,448.00",2018-04-15 21:36:15.851000
FTSE 100 Index,"7,264.56",2018-04-15 21:36:15.851000
Hong Kong Hang Seng Index,"30,808.38",2018-04-15 21:36:15.851000
United States Treasury Note/Bond,99.2344,2018-04-15 21:36:15.851000
